name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris, France",2007-01-17,55.5,48.7,52.5,55.5,44.6,52,48.6,86.8,0.129,100,25,rain,0,0,41.8,18.8,202.2,1015.6,95.7,6.4,,,,,2007-01-17T08:37:43,2007-01-17T17:23:57,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-18,59.2,52.9,56.9,59.2,52.9,56.9,51.6,82.6,0.132,100,41.67,rain,0,0,53.3,28.5,225.8,1007.5,91.7,8.8,,,,,2007-01-18T08:36:55,2007-01-18T17:25:25,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07143099999,07156099999,07146099999,07145099999,07153099999,07157099999,07147099999,07150099999,07057099999,07055099999"
"Paris, France",2007-01-19,58.6,55.4,56.7,58.6,55.4,56.7,52.2,85,0.038,100,29.17,rain,0,0,37.4,17.4,240,1019.8,97.9,8.8,,,,,2007-01-19T08:36:04,2007-01-19T17:26:55,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-20,57.2,47.3,53.6,57.2,43,52.9,47.1,79,0.121,100,33.33,rain,0,0,35.8,15.9,232.7,1018.8,90.2,11.1,,,,,2007-01-20T08:35:11,2007-01-20T17:28:25,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-21,50.3,41.1,45.4,50.3,37.1,40.4,36.8,72.3,0.005,100,4.17,rain,0,0,36.4,16.3,234.7,1017.7,33.9,14.2,,,,,2007-01-21T08:34:15,2007-01-21T17:29:57,0.08,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,07147099999,07150099999,07057099999"
"Paris, France",2007-01-22,45.7,36.7,41.1,45.1,33.7,37.9,36.3,83.2,0,0,0,,0,0,28.9,16.7,87,1014.3,71.2,10.1,,,,,2007-01-22T08:33:17,2007-01-22T17:31:29,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-23,41.3,32.6,35.3,33,21,24.9,16.8,49.2,0,0,0,,0,0,48.6,20.4,13.5,1011,77.6,12.1,,,,,2007-01-23T08:32:16,2007-01-23T17:33:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-24,37.6,32,34.5,33.1,23,28.2,29.2,81,0.019,100,12.5,"rain,snow",0,0,28.9,13.2,349.4,1009.7,63.4,9,,,,,2007-01-24T08:31:13,2007-01-24T17:34:36,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-25,32,27.9,30.1,24.8,17.3,20.9,21.9,71.6,0,0,0,,0,0,28.3,15.5,30.2,1020.1,39.3,6.3,,,,,2007-01-25T08:30:07,2007-01-25T17:36:11,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-26,36.9,25.8,31.8,32.4,19.7,27,22.5,68.5,0,0,0,,0,0,16.3,8.8,272.9,1025.5,56.6,6.4,,,,,2007-01-26T08:29:00,2007-01-26T17:37:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-27,46.1,37.1,40.8,44.8,31.6,37.2,34.9,79.9,0,0,0,,0,0,14.5,7.1,287.4,1031.1,60.9,5.8,,,,,2007-01-27T08:27:50,2007-01-27T17:39:23,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-28,44.4,35.2,40.6,40.8,30.9,36.8,35.4,82,0,0,0,,0,0,23.7,11.2,247.2,1032.1,82.9,6.2,,,,,2007-01-28T08:26:37,2007-01-28T17:41:00,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-29,49.3,42,44.8,49.3,38.3,42.9,39.4,81.3,0.001,100,4.17,rain,0,0,14.7,7.8,312.3,1026.9,86.3,8.2,,,,,2007-01-29T08:25:23,2007-01-29T17:42:37,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-30,48.1,43,46.2,46.1,40.9,43.7,41.2,82.7,0,0,0,,0,0,14.1,7.1,36.4,1025.5,97.3,4.8,,,,,2007-01-30T08:24:07,2007-01-30T17:44:15,0.4,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-31,48.5,43.3,46.3,46.6,39.7,44.3,37.1,70.6,0,0,0,,0,0,16.7,7.3,291,1025,92.8,8.3,,,,,2007-01-31T08:22:48,2007-01-31T17:45:53,0.44,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-01,52.2,43.2,48,52.2,40.9,47.3,43.4,84.2,0,0,0,,0,0,12.5,6.4,304.6,1029,96.5,5.2,,,,,2007-02-01T08:21:28,2007-02-01T17:47:31,0.47,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-02,50.9,48.4,49.9,50.9,44.7,49.2,46.5,88,0.001,100,4.17,rain,0,0,18.6,8.9,11.4,1031.8,98.6,2.9,,,,,2007-02-02T08:20:05,2007-02-02T17:49:10,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-03,50,40.1,45.2,45.1,32.5,39.6,36.3,71.9,0,0,0,,0,0,27.5,15.8,39,1034.6,24,8.8,,,,,2007-02-03T08:18:41,2007-02-03T17:50:49,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-04,51.1,38.1,43.1,51.1,31.7,39.3,35.2,74.2,0,0,0,,0,0,24.1,10.4,59.1,1027.6,19.2,9.2,,,,,2007-02-04T08:17:15,2007-02-04T17:52:28,0.57,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-05,43.6,39.9,42.5,42.6,36.6,39.2,36.6,79.6,0,0,0,,0,0,17.8,7.6,244.1,1017.1,94.3,5.8,,,,,2007-02-05T08:15:47,2007-02-05T17:54:07,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-06,44.5,39.8,42.2,43.7,33.2,39.6,36,79,0,0,0,,0,0,15.8,10.4,259.4,1006.6,95.1,3.9,,,,,2007-02-06T08:14:17,2007-02-06T17:55:47,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-07,38.6,33.1,36,35.5,25.5,30.8,30.9,81.6,0.04,100,12.5,"rain,snow",0,0,19,9.9,45.7,999.9,86,6,,,,,2007-02-07T08:12:46,2007-02-07T17:57:26,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-08,51.2,35.2,43.4,51.2,29.8,38.2,35.9,75.9,0.188,100,25,rain,0,0,50.7,19.9,217.3,994.2,70.5,10.7,,,,,2007-02-08T08:11:13,2007-02-08T17:59:06,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-09,49.4,38.4,43.4,45.7,34.7,40.1,39.4,86,0.105,100,12.5,rain,0,0,19.6,10.1,165.7,1002.1,72.6,9.2,,,,,2007-02-09T08:09:38,2007-02-09T18:00:45,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-10,54,42.4,47.4,54,36.6,44.4,42.1,82.4,0.111,100,20.83,rain,0,0,28.4,14.4,204.6,1002.4,76.5,9.8,,,,,2007-02-10T08:08:02,2007-02-10T18:02:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-11,55.9,47.5,50.2,55.9,41.9,47.4,43.3,77.7,0.532,100,54.17,rain,0,0,51.6,23.7,218.5,1000.5,75.9,7.4,,,,,2007-02-11T08:06:24,2007-02-11T18:04:04,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-12,52.8,46.7,49.7,52.8,40.5,46.5,42.4,77,0.224,100,33.33,rain,0,0,47.7,21.7,225,996,91.6,9.7,,,,,2007-02-12T08:04:45,2007-02-12T18:05:43,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-13,51.1,46.1,48.1,51.1,40.8,44.2,38.7,70.1,0.032,100,16.67,rain,0,0,32.5,14.8,238.1,1010.1,80.2,12.5,,,,,2007-02-13T08:03:04,2007-02-13T18:07:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-14,51.9,43.8,47.4,51.9,37.3,42.7,42.9,84.6,0.483,100,62.5,rain,0,0,41.9,17.5,216.3,1003.4,89.1,8.6,,,,,2007-02-14T08:01:22,2007-02-14T18:09:02,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-15,50.4,36.6,43.8,50.4,33.2,40.7,36.3,76,0,0,0,,0,0,23.4,11.9,166.9,1020.9,34.1,9.5,,,,,2007-02-15T07:59:38,2007-02-15T18:10:41,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-16,54.5,37.6,45.5,54.5,31.6,42.1,35.5,68.7,0,0,0,,0,0,23.7,10,120.9,1013,61.8,11.2,,,,,2007-02-16T07:57:54,2007-02-16T18:12:20,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-17,63.1,43.7,52.2,63.1,40.1,50.6,36.4,55.4,0,0,0,,0,0,16.3,7.9,159.1,1010,66.5,13.2,,,,,2007-02-17T07:56:08,2007-02-17T18:13:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-18,60.2,44.3,51.6,60.2,44.3,51.3,41.9,70.6,0,0,0,,0,0,33.3,7.3,338.7,1015.5,44.1,8.6,,,,,2007-02-18T07:54:20,2007-02-18T18:15:37,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-19,49.3,42.8,45.5,48.2,39.4,43.7,42.3,89.2,0,0,0,,0,0,16,7.8,158.7,1013.2,74,2.8,,,,,2007-02-19T07:52:32,2007-02-19T18:17:15,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-20,56.7,39.5,47.9,56.7,36.1,46.6,41.1,78.7,0,0,0,,0,0,15.8,7,149.9,1009.1,74.6,7.3,,,,,2007-02-20T07:50:42,2007-02-20T18:18:53,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-21,55.3,45.3,50.4,55.3,42.7,49,41.5,72.8,0.022,100,16.67,rain,0,0,28.1,12.5,216.8,1011.1,68.4,9.9,,,,,2007-02-21T07:48:52,2007-02-21T18:20:30,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-22,54.3,39.1,46.2,54.3,34.9,43.2,40.5,81,0.016,100,8.33,rain,0,0,24,11.9,174.1,1009.5,63.8,10.3,,,,,2007-02-22T07:47:00,2007-02-22T18:22:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07153099999,07157099999,07147099999,07150099999,07057099999"
"Paris, France",2007-02-23,52.3,44.8,49,52.3,40.9,46.5,43.9,82.7,0.006,100,12.5,rain,0,0,29.5,13.8,185.1,1005.7,74.4,8.5,,,,,2007-02-23T07:45:07,2007-02-23T18:23:45,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07146099999,07156099999,07153099999,07157099999,07147099999,07150099999,07057099999"
"Paris, France",2007-02-24,54.8,49.2,51.4,54.8,44.4,49.9,44.5,77.8,0.09,100,37.5,rain,0,0,33.4,18,212.8,1000.3,87.1,10.5,,,,,2007-02-24T07:43:14,2007-02-24T18:25:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-25,51.1,43.7,47.5,51.1,37.8,42.5,41.8,80.7,0.116,100,33.33,rain,0,0,50.5,19.8,234.4,999.6,85.1,10.1,,,,,2007-02-25T07:41:19,2007-02-25T18:26:58,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-26,52.9,45.4,48.4,52.9,41.6,45.2,40.4,74.8,0.083,100,37.5,rain,0,0,32.7,14.8,284,1013.3,73.4,10.9,,,,,2007-02-26T07:39:24,2007-02-26T18:28:35,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-27,55.4,42.7,48.2,55.4,38.8,45.8,44.3,86.3,0.01,100,8.33,rain,0,0,32.1,14.4,218.2,1015.1,87.8,9.6,,,,,2007-02-27T07:37:27,2007-02-27T18:30:11,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-02-28,55,49.3,51.8,55,44.8,51.4,45.4,79,0.059,100,29.17,rain,0,0,43.7,19.3,227.6,1004.6,79.6,13,,,,,2007-02-28T07:35:30,2007-02-28T18:31:47,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-01,53.7,47.8,50.6,53.7,43.2,48.9,42.7,75.1,0.528,100,37.5,rain,0,0,47.2,22.6,240.1,998.6,82.6,10.5,,,,,2007-03-01T07:33:32,2007-03-01T18:33:22,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-02,53.2,40.5,46.9,53.2,33.9,43.7,41.3,81.4,0.09,100,20.83,rain,0,0,28.1,13.8,208,1007,64.9,8.3,,,,,2007-03-02T07:31:33,2007-03-02T18:34:57,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-03,55.5,46.5,52.1,55.5,43.8,51.8,41.3,67.6,0.074,100,29.17,rain,0,0,44.1,19.5,254.4,1009,67.8,15.2,,,,,2007-03-03T07:29:34,2007-03-03T18:36:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-04,60.5,41.3,51.6,60.5,37.4,50.4,42.9,73.8,0,0,0,,0,0,27.8,14.2,155,1013.2,55,12.2,,,,,2007-03-04T07:27:34,2007-03-04T18:38:07,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-05,56.3,46.5,51.7,56.3,41.3,50.4,40.6,67.1,0.081,100,12.5,rain,0,0,38.3,17.1,216.7,1015.8,52.3,14,,,,,2007-03-05T07:25:33,2007-03-05T18:39:41,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07153099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-06,50.7,45.8,48.7,50.7,40.7,43.8,42.2,78.7,0.222,100,45.83,rain,0,0,39.4,21.1,190.5,1007.5,89.8,8.9,,,,,2007-03-06T07:23:32,2007-03-06T18:41:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,07147099999,07150099999,07057099999"
"Paris, France",2007-03-07,53,43.4,48.7,53,38,45.9,39.3,71.1,0.009,100,8.33,rain,0,0,24.4,13,213.9,1003.7,62,11.4,,,,,2007-03-07T07:21:30,2007-03-07T18:42:49,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07146099999,07156099999,07145099999,07153099999,07157099999,07147099999,07150099999,07057099999,07055099999"
"Paris, France",2007-03-08,55.5,40.4,47.5,55.5,37.1,45.9,38.1,71.2,0,0,0,,0,0,20.7,9,285.5,1021.3,37.5,11.2,,,,,2007-03-08T07:19:28,2007-03-08T18:44:23,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-09,54.3,44.9,47.6,54.3,40.6,45.1,39,73.3,0.03,100,12.5,rain,0,0,41.3,19.9,274.3,1028.6,57.7,10.8,,,,,2007-03-09T07:17:25,2007-03-09T18:45:56,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-10,56.7,39.8,48,56.7,36.5,46.1,36.8,67.5,0,0,0,,0,0,17.2,8.6,298.7,1037.9,23.7,11.2,,,,,2007-03-10T07:15:21,2007-03-10T18:47:29,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-11,58.7,38.9,48.3,58.7,37.9,48.1,38.2,70,0,0,0,,0,0,13.1,7.1,76.7,1033.3,5.3,10.1,,,,,2007-03-11T07:13:18,2007-03-11T18:49:02,0.75,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-12,59.9,39.8,49.5,59.9,37,49.2,36.1,62.6,0,0,0,,0,0,10.3,4.8,163.1,1025.7,1.3,10.7,,,,,2007-03-12T07:11:13,2007-03-12T18:50:35,0.75,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-13,58.1,41.1,49.5,58.1,39,49.1,39.9,70.4,0,0,0,,0,0,19.8,10.3,323.1,1028.4,23.8,7,,,,,2007-03-13T07:09:09,2007-03-13T18:52:07,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-03-14,58.1,42.7,50,58.1,38.9,48.2,38.1,66.3,0,0,0,,0,0,21.1,11,11.7,1033.4,7.7,6.1,,,,,2007-03-14T07:07:04,2007-03-14T18:53:39,0.85,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
